"Plot Title: 11-14MAR19_LightTempLogger_CH04"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454915, SEN S/N: 20454915)","Intensity, lum/ft² (LGR S/N: 20454915, SEN S/N: 20454915)","Coupler Attached (LGR S/N: 20454915)","Coupler Detached (LGR S/N: 20454915)","Stopped (LGR S/N: 20454915)","End Of File (LGR S/N: 20454915)"
219,03/12/19 07:47:52 PM,15.091,0.0,,,,
220,03/12/19 07:57:52 PM,15.187,0.0,,,,
221,03/12/19 08:07:52 PM,14.996,0.0,,,,
222,03/12/19 08:17:52 PM,15.091,0.0,,,,
223,03/12/19 08:27:52 PM,15.187,0.0,,,,
224,03/12/19 08:37:52 PM,15.091,0.0,,,,
225,03/12/19 08:47:52 PM,15.091,0.0,,,,
226,03/12/19 08:57:52 PM,15.187,0.0,,,,
227,03/12/19 09:07:52 PM,15.187,0.0,,,,
228,03/12/19 09:17:52 PM,15.282,0.0,,,,
229,03/12/19 09:27:52 PM,15.091,0.0,,,,
230,03/12/19 09:37:52 PM,15.091,0.0,,,,
231,03/12/19 09:47:52 PM,15.282,0.0,,,,
232,03/12/19 09:57:52 PM,15.187,0.0,,,,
233,03/12/19 10:07:52 PM,15.091,0.0,,,,
234,03/12/19 10:17:52 PM,15.187,0.0,,,,
235,03/12/19 10:27:52 PM,15.282,0.0,,,,
236,03/12/19 10:37:52 PM,15.187,0.0,,,,
237,03/12/19 10:47:52 PM,15.091,0.0,,,,
238,03/12/19 10:57:52 PM,15.187,0.0,,,,
239,03/12/19 11:07:52 PM,15.187,0.0,,,,
240,03/12/19 11:17:52 PM,15.091,0.0,,,,
241,03/12/19 11:27:52 PM,15.187,0.0,,,,
242,03/12/19 11:37:52 PM,15.282,0.0,,,,
243,03/12/19 11:47:52 PM,15.187,0.0,,,,
244,03/12/19 11:57:52 PM,15.282,0.0,,,,
245,03/13/19 12:07:52 AM,15.282,0.0,,,,
246,03/13/19 12:17:52 AM,15.282,0.0,,,,
247,03/13/19 12:27:52 AM,15.091,0.0,,,,
248,03/13/19 12:37:52 AM,15.187,0.0,,,,
249,03/13/19 12:47:52 AM,15.282,0.0,,,,
250,03/13/19 12:57:52 AM,15.378,0.0,,,,
251,03/13/19 01:07:52 AM,15.282,0.0,,,,
252,03/13/19 01:17:52 AM,15.187,0.0,,,,
253,03/13/19 01:27:52 AM,15.282,0.0,,,,
254,03/13/19 01:37:52 AM,15.378,0.0,,,,
255,03/13/19 01:47:52 AM,15.282,0.0,,,,
256,03/13/19 01:57:52 AM,15.378,0.0,,,,
257,03/13/19 02:07:52 AM,15.378,0.0,,,,
258,03/13/19 02:17:52 AM,15.187,0.0,,,,
259,03/13/19 02:27:52 AM,15.187,0.0,,,,
260,03/13/19 02:37:52 AM,15.282,0.0,,,,
261,03/13/19 02:47:52 AM,15.378,0.0,,,,
262,03/13/19 02:57:52 AM,15.378,0.0,,,,
263,03/13/19 03:07:52 AM,15.187,0.0,,,,
264,03/13/19 03:17:52 AM,15.282,0.0,,,,
265,03/13/19 03:27:52 AM,15.378,0.0,,,,
266,03/13/19 03:37:52 AM,15.378,0.0,,,,
267,03/13/19 03:47:52 AM,15.187,0.0,,,,
268,03/13/19 03:57:52 AM,15.187,0.0,,,,
269,03/13/19 04:07:52 AM,15.282,0.0,,,,
270,03/13/19 04:17:52 AM,15.378,0.0,,,,
271,03/13/19 04:27:52 AM,15.378,0.0,,,,
272,03/13/19 04:37:52 AM,15.282,0.0,,,,
273,03/13/19 04:47:52 AM,15.282,0.0,,,,
274,03/13/19 04:57:52 AM,15.091,0.0,,,,
275,03/13/19 05:07:52 AM,15.187,0.0,,,,
276,03/13/19 05:17:52 AM,15.282,0.0,,,,
277,03/13/19 05:27:52 AM,15.378,0.0,,,,
278,03/13/19 05:37:52 AM,15.091,0.0,,,,
279,03/13/19 05:47:52 AM,15.187,0.0,,,,
280,03/13/19 05:57:52 AM,15.282,0.0,,,,
281,03/13/19 06:07:52 AM,15.378,0.0,,,,
282,03/13/19 06:17:52 AM,15.473,0.0,,,,
283,03/13/19 06:27:52 AM,15.187,0.0,,,,
284,03/13/19 06:37:52 AM,15.187,0.0,,,,
285,03/13/19 06:47:52 AM,15.282,0.0,,,,
286,03/13/19 06:57:52 AM,15.378,0.0,,,,
287,03/13/19 07:07:52 AM,15.378,0.0,,,,
288,03/13/19 07:17:52 AM,15.378,0.0,,,,
289,03/13/19 07:27:52 AM,15.378,0.0,,,,
290,03/13/19 07:37:52 AM,15.378,0.0,,,,
291,03/13/19 07:47:52 AM,15.187,0.0,,,,
292,03/13/19 07:57:52 AM,15.282,0.0,,,,
293,03/13/19 08:07:52 AM,15.282,0.0,,,,
294,03/13/19 08:17:52 AM,15.378,0.0,,,,
295,03/13/19 08:27:52 AM,15.378,0.0,,,,
296,03/13/19 08:37:52 AM,15.473,0.0,,,,
297,03/13/19 08:47:52 AM,15.378,0.0,,,,
298,03/13/19 08:57:52 AM,15.473,0.0,,,,
299,03/13/19 09:07:52 AM,15.282,0.0,,,,
300,03/13/19 09:17:52 AM,15.091,0.0,,,,
301,03/13/19 09:27:52 AM,15.282,0.0,,,,
302,03/13/19 09:37:52 AM,15.378,0.0,,,,
303,03/13/19 09:47:52 AM,15.473,0.0,,,,
304,03/13/19 09:57:52 AM,15.187,0.0,,,,
305,03/13/19 10:07:52 AM,15.282,0.0,,,,
306,03/13/19 10:17:52 AM,15.282,0.0,,,,
307,03/13/19 10:27:52 AM,15.187,0.0,,,,
308,03/13/19 10:37:52 AM,15.378,0.0,,,,
309,03/13/19 10:47:52 AM,15.187,0.0,,,,
310,03/13/19 10:57:52 AM,15.282,0.0,,,,
311,03/13/19 11:07:52 AM,15.282,0.0,,,,
312,03/13/19 11:17:52 AM,15.187,0.0,,,,
313,03/13/19 11:27:52 AM,15.282,0.0,,,,
314,03/13/19 11:37:52 AM,15.091,0.0,,,,
315,03/13/19 11:47:52 AM,15.282,0.0,,,,
316,03/13/19 11:57:52 AM,15.282,0.0,,,,
317,03/13/19 12:07:52 PM,15.187,0.0,,,,
318,03/13/19 12:17:52 PM,15.282,0.0,,,,
319,03/13/19 12:27:52 PM,15.187,0.0,,,,
320,03/13/19 12:37:52 PM,15.187,0.0,,,,
321,03/13/19 12:47:52 PM,15.282,0.0,,,,
322,03/13/19 12:57:52 PM,15.187,0.0,,,,
323,03/13/19 01:07:52 PM,15.187,0.0,,,,
324,03/13/19 01:17:52 PM,15.282,0.0,,,,
325,03/13/19 01:27:52 PM,15.091,0.0,,,,
326,03/13/19 01:37:52 PM,15.091,0.0,,,,
327,03/13/19 01:47:52 PM,15.187,0.0,,,,
328,03/13/19 01:57:52 PM,15.282,0.0,,,,
329,03/13/19 02:07:52 PM,15.378,15.0,,,,
330,03/13/19 02:17:52 PM,15.187,0.0,,,,
331,03/13/19 02:27:52 PM,15.187,0.0,,,,
332,03/13/19 02:37:52 PM,15.282,0.0,,,,
333,03/13/19 02:47:52 PM,15.378,0.0,,,,
334,03/13/19 02:57:52 PM,15.187,0.0,,,,
335,03/13/19 03:07:52 PM,15.187,0.0,,,,
336,03/13/19 03:17:52 PM,15.091,0.0,,,,
337,03/13/19 03:27:52 PM,15.282,0.0,,,,
338,03/13/19 03:37:52 PM,15.187,0.0,,,,
339,03/13/19 03:47:52 PM,15.282,0.0,,,,
340,03/13/19 03:57:52 PM,15.091,0.0,,,,
341,03/13/19 04:07:52 PM,15.282,0.0,,,,
342,03/13/19 04:17:52 PM,15.091,0.0,,,,
343,03/13/19 04:27:52 PM,15.187,0.0,,,,
344,03/13/19 04:37:52 PM,15.187,0.0,,,,
345,03/13/19 04:47:52 PM,15.091,0.0,,,,
346,03/13/19 04:57:52 PM,15.187,0.0,,,,
347,03/13/19 05:07:52 PM,15.091,0.0,,,,
348,03/13/19 05:17:52 PM,15.187,0.0,,,,
349,03/13/19 05:27:52 PM,15.091,0.0,,,,
350,03/13/19 05:37:52 PM,15.187,15.0,,,,
351,03/13/19 05:47:52 PM,15.091,0.0,,,,
352,03/13/19 05:57:52 PM,15.187,0.0,,,,
353,03/13/19 06:07:52 PM,15.091,0.0,,,,
354,03/13/19 06:17:52 PM,15.187,0.0,,,,
355,03/13/19 06:27:52 PM,15.091,0.0,,,,
356,03/13/19 06:37:52 PM,15.282,0.0,,,,
357,03/13/19 06:47:52 PM,14.900,15.0,,,,
358,03/13/19 06:57:52 PM,14.996,0.0,,,,
359,03/13/19 07:07:52 PM,15.282,0.0,,,,
